time_s,drag_force_negative,drag_force_magnitude
1.85,-1.756748,1.756748
1.86,-1.756578,1.756578
1.87,-1.756378,1.756378
1.88,-1.756134,1.756134
1.89,-1.755894,1.755894
1.9,-1.755656,1.755656
1.91,-1.755377,1.755377
1.92,-1.755026,1.755026
1.93,-1.754628,1.754628
1.94,-1.754221,1.754221
1.95,-1.753829,1.753829
1.96,-1.753502,1.753502
1.97,-1.753149,1.753149
1.98,-1.752781,1.752781
1.99,-1.752336,1.752336
2.0,-1.751872,1.751872
2.01,-1.751372,1.751372
2.02,-1.750855,1.750855
2.03,-1.750335,1.750335
2.04,-1.749861,1.749861
2.05,-1.749362,1.749362
2.06,-1.748886,1.748886
2.07,-1.748408,1.748408
2.08,-1.747986,1.747986
2.09,-1.747585,1.747585
2.1,-1.747182,1.747182
2.11,-1.74674,1.74674
2.12,-1.74633,1.74633
2.13,-1.745912,1.745912
2.14,-1.745444,1.745444
2.15,-1.744951,1.744951
2.16,-1.744475,1.744475
2.17,-1.743994,1.743994
2.18,-1.743524,1.743524
2.19,-1.743089,1.743089
2.2,-1.742653,1.742653
2.21,-1.742228,1.742228
2.22,-1.741816,1.741816
2.23,-1.741403,1.741403
2.24,-1.74103,1.74103
2.25,-1.740676,1.740676
2.26,-1.74035,1.74035
2.27,-1.740021,1.740021
2.28,-1.739698,1.739698
2.29,-1.739363,1.739363
2.3,-1.739064,1.739064
2.31,-1.738753,1.738753
2.32,-1.738457,1.738457
2.33,-1.73818,1.73818
2.34,-1.737959,1.737959
2.35,-1.737759,1.737759
2.36,-1.737566,1.737566
2.37,-1.737353,1.737353
2.38,-1.737162,1.737162
2.39,-1.736972,1.736972
2.4,-1.736804,1.736804
2.41,-1.736621,1.736621
2.42,-1.736424,1.736424
2.43,-1.736209,1.736209
2.44,-1.736008,1.736008
2.45,-1.735821,1.735821
2.46,-1.735636,1.735636
2.47,-1.735462,1.735462
2.48,-1.735319,1.735319
2.49,-1.735198,1.735198
2.5,-1.735078,1.735078
2.51,-1.734971,1.734971
2.52,-1.734828,1.734828
2.53,-1.734658,1.734658
2.54,-1.734485,1.734485
2.55,-1.734285,1.734285
2.56,-1.734088,1.734088
2.57,-1.733884,1.733884
2.58,-1.733667,1.733667
2.59,-1.733459,1.733459
2.6,-1.733275,1.733275
2.61,-1.733101,1.733101
2.62,-1.732881,1.732881
2.63,-1.732667,1.732667
2.64,-1.732484,1.732484
2.65,-1.732298,1.732298
2.66,-1.732125,1.732125
2.67,-1.73194,1.73194
2.68,-1.731781,1.731781
2.69,-1.731571,1.731571
2.7,-1.731372,1.731372
2.71,-1.731143,1.731143
2.72,-1.730927,1.730927
2.73,-1.730741,1.730741
2.74,-1.730649,1.730649
2.75,-1.730619,1.730619
2.76,-1.7306,1.7306
2.77,-1.73057,1.73057
2.78,-1.730505,1.730505
2.79,-1.730447,1.730447
2.8,-1.730439,1.730439
2.81,-1.730427,1.730427
2.82,-1.730409,1.730409
2.83,-1.730384,1.730384
2.84,-1.730378,1.730378
2.85,-1.730339,1.730339
2.86,-1.730338,1.730338
2.87,-1.730367,1.730367
2.88,-1.730393,1.730393
2.89,-1.730387,1.730387
2.9,-1.730397,1.730397
2.91,-1.730396,1.730396
2.92,-1.73042,1.73042
2.93,-1.730448,1.730448
2.94,-1.730499,1.730499
2.95,-1.730522,1.730522
2.96,-1.730544,1.730544
2.97,-1.730501,1.730501
2.98,-1.730457,1.730457
2.99,-1.730425,1.730425
3.0,-1.730425,1.730425
3.01,-1.730407,1.730407
3.02,-1.730389,1.730389
3.03,-1.730337,1.730337
3.04,-1.730299,1.730299
3.05,-1.730227,1.730227
3.06,-1.73016,1.73016
3.07,-1.730066,1.730066
3.08,-1.729962,1.729962
3.09,-1.729826,1.729826
3.1,-1.72977,1.72977
3.11,-1.729701,1.729701
3.12,-1.729643,1.729643
3.13,-1.729551,1.729551
3.14,-1.729504,1.729504
3.15,-1.729486,1.729486
3.16,-1.729492,1.729492
3.17,-1.729459,1.729459
3.18,-1.729429,1.729429
3.19,-1.729373,1.729373
3.2,-1.729311,1.729311
3.21,-1.729196,1.729196
3.22,-1.729068,1.729068
3.23,-1.728954,1.728954
3.24,-1.728902,1.728902
3.25,-1.728798,1.728798
3.26,-1.728653,1.728653
3.27,-1.728465,1.728465
3.28,-1.728306,1.728306
3.29,-1.728144,1.728144
3.3,-1.727997,1.727997
3.31,-1.727831,1.727831
3.32,-1.727674,1.727674
3.33,-1.727499,1.727499
3.34,-1.727341,1.727341
3.35,-1.727182,1.727182
3.36,-1.727066,1.727066
3.37,-1.726929,1.726929
3.38,-1.726774,1.726774
3.39,-1.726544,1.726544
3.4,-1.726294,1.726294
3.41,-1.726028,1.726028
3.42,-1.725815,1.725815
3.43,-1.725617,1.725617
3.44,-1.725428,1.725428
3.45,-1.725203,1.725203
3.46,-1.725047,1.725047
3.47,-1.724917,1.724917
3.48,-1.72483,1.72483
3.49,-1.724713,1.724713
3.5,-1.724589,1.724589
3.51,-1.724476,1.724476
3.52,-1.724371,1.724371
3.53,-1.724232,1.724232
3.54,-1.724119,1.724119
3.55,-1.724024,1.724024
3.56,-1.723938,1.723938
3.57,-1.723858,1.723858
3.58,-1.723842,1.723842
3.59,-1.723838,1.723838
3.6,-1.72383,1.72383
3.61,-1.723777,1.723777
3.62,-1.723733,1.723733
3.63,-1.723729,1.723729
3.64,-1.723729,1.723729
3.65,-1.723708,1.723708
3.66,-1.723723,1.723723
3.67,-1.723691,1.723691
3.68,-1.72363,1.72363
3.69,-1.723547,1.723547
3.7,-1.723505,1.723505
3.71,-1.723443,1.723443
3.72,-1.723347,1.723347
3.73,-1.723264,1.723264
3.74,-1.7232,1.7232
3.75,-1.723132,1.723132
3.76,-1.723061,1.723061
3.77,-1.72292,1.72292
3.78,-1.722786,1.722786
3.79,-1.72266,1.72266
3.8,-1.722526,1.722526
3.81,-1.722333,1.722333
3.82,-1.722159,1.722159
3.83,-1.721957,1.721957
3.84,-1.721764,1.721764
3.85,-1.721587,1.721587
3.86,-1.721464,1.721464
3.87,-1.721321,1.721321
3.88,-1.7212,1.7212
3.89,-1.721029,1.721029
3.9,-1.72087,1.72087
3.91,-1.72069,1.72069
3.92,-1.720471,1.720471
3.93,-1.720223,1.720223
3.94,-1.719999,1.719999
3.95,-1.7198,1.7198
3.96,-1.7196,1.7196
3.97,-1.719387,1.719387
3.98,-1.719206,1.719206
3.99,-1.719029,1.719029
4.0,-1.71883,1.71883
4.01,-1.718629,1.718629
4.02,-1.718483,1.718483
4.03,-1.718365,1.718365
4.04,-1.718241,1.718241
4.05,-1.718097,1.718097
4.06,-1.71794,1.71794
4.07,-1.717736,1.717736
4.08,-1.717555,1.717555
4.09,-1.717375,1.717375
4.1,-1.717197,1.717197
4.11,-1.717013,1.717013
4.12,-1.716842,1.716842
4.13,-1.716669,1.716669
4.14,-1.716497,1.716497
4.15,-1.716267,1.716267
4.16,-1.716057,1.716057
4.17,-1.715877,1.715877
4.18,-1.715774,1.715774
4.19,-1.715664,1.715664
4.2,-1.715511,1.715511
4.21,-1.715315,1.715315
4.22,-1.715143,1.715143
4.23,-1.714956,1.714956
4.24,-1.714776,1.714776
4.25,-1.714596,1.714596
4.26,-1.71441,1.71441
4.27,-1.714215,1.714215
4.28,-1.714056,1.714056
4.29,-1.713966,1.713966
4.3,-1.713908,1.713908
4.31,-1.713815,1.713815
4.32,-1.713704,1.713704
4.33,-1.71357,1.71357
4.34,-1.713441,1.713441
4.35,-1.713325,1.713325
4.36,-1.713268,1.713268
4.37,-1.713205,1.713205
4.38,-1.713124,1.713124
4.39,-1.713049,1.713049
4.4,-1.713004,1.713004
4.41,-1.713005,1.713005
4.42,-1.713028,1.713028
4.43,-1.713049,1.713049
4.44,-1.713093,1.713093
4.45,-1.713145,1.713145
4.46,-1.713238,1.713238
4.47,-1.713313,1.713313
4.48,-1.713423,1.713423
4.49,-1.713517,1.713517
4.5,-1.713646,1.713646
4.51,-1.713745,1.713745
4.52,-1.713834,1.713834
4.53,-1.713975,1.713975
4.54,-1.714119,1.714119
4.55,-1.714264,1.714264
4.56,-1.714447,1.714447
4.57,-1.714607,1.714607
4.58,-1.714781,1.714781
4.59,-1.714962,1.714962
4.6,-1.715152,1.715152
4.61,-1.71531,1.71531
4.62,-1.715455,1.715455
4.63,-1.715568,1.715568
4.64,-1.71568,1.71568
4.65,-1.715757,1.715757
4.66,-1.715876,1.715876
4.67,-1.71597,1.71597
4.68,-1.716043,1.716043
4.69,-1.716113,1.716113
4.7,-1.716165,1.716165
4.71,-1.716171,1.716171
4.72,-1.716169,1.716169
4.73,-1.716147,1.716147
4.74,-1.716142,1.716142
4.75,-1.716119,1.716119
4.76,-1.716021,1.716021
4.77,-1.715901,1.715901
4.78,-1.715787,1.715787
4.79,-1.71568,1.71568
4.8,-1.715554,1.715554
4.81,-1.715457,1.715457
4.82,-1.715376,1.715376
4.83,-1.715283,1.715283
4.84,-1.715187,1.715187
4.85,-1.715109,1.715109
4.86,-1.715075,1.715075
4.87,-1.715072,1.715072
4.88,-1.715077,1.715077
4.89,-1.715067,1.715067
4.9,-1.715024,1.715024
4.91,-1.714983,1.714983
4.92,-1.714978,1.714978
4.93,-1.714993,1.714993
4.94,-1.714985,1.714985
4.95,-1.71499,1.71499
4.96,-1.715028,1.715028
4.97,-1.715076,1.715076
4.98,-1.715115,1.715115
